label,name,location,takable,explaination,description_condition_1,description_condition_2,description_condition_3
bed_bedroom,床,bedroom,no,用來睡覺,一張加大的雙人床。你要在床上休息嗎？這個床非常舒適，彷彿睡在自己的床上，你已充滿精神。,一張加大的雙人床。你要在床上休息嗎？這個床非常舒適，彷彿睡在自己的床上，你已充滿精神。,
desk,書桌,bedroom,no,抽屜放臥室鑰匙,書桌上切割成兩邊，左邊是一整疊的書，右邊擺滿化妝品，化妝品上全都是灰塵。抽屜中放滿文具和藥品。你翻找一陣後找到了臥室鑰匙。,書桌上切割成兩邊，左邊是一整疊的書，右邊擺滿化妝品，化妝品上全都是灰塵。抽屜中放滿文具和藥品。抽屜中放滿文具和藥品。你翻找一震後沒發現其他東西。,
closet,衣櫃,bedroom,no,拼圖碎片*1,衣櫃發出陣陣的木頭香，你依稀記得這是某個人很愛的氣味，但卻想不起來。打開衣櫃，左半邊是男性的衣物，右半邊是女性的衣物。你在一件大衣的口袋中找到了拼圖的碎片。,衣櫃發出陣陣的木頭香，你依稀記得這是某個人很愛的氣味，但卻想不起來。打開衣櫃，左半邊是男性的衣物，右半邊是女性的衣物。檢查過後沒發現任何有用的東西。,
safe_deposit_box,保險箱,bedroom,no,密碼：0526，內有大門鑰匙,十分厚重的保險箱，裡面似乎放著十分珍貴的東西。保險箱放著一張照片與大門鑰匙。照片裡是一個男孩的後面站著一個男人與一個女人，你終於想起一切事情。隨後把照片放進胸前的口袋中，大門鑰匙收到褲子裡。,保險箱中沒有任何東西了。,
photo_frame,相框,bedroom,no,角落有密碼0,你看著掛在牆壁上的相框，相片裡是一個男孩抱著皮卡丘玩偶向鏡頭微笑的樣子，你感覺那男孩與你有幾分神似。照片的角落很突兀的寫了一個數字0。,你看著掛在牆壁上的相框，相片裡是一個男孩抱著皮卡丘玩偶向鏡頭微笑的樣子，你感覺那男孩與你有幾分神似。照片的角落很突兀的寫了一個數字0。,
television,電視,living_room,no,打開PS3後可見密碼6,你試著把電視打開，但並沒有畫面。,你試著把電視打開。上頭寫著大大的數字6。,
playstation,PS3,living_room,no,打開變電箱後可啟動,你記得曾經有一段時間，會與某個人在星期六下午一起玩PS3玩整天。試著把PS3打開，但並沒有反應，似乎是沒電了。,你記得曾經有一段時間，會與某個人在星期六下午一起玩PS3玩整天。你把PS3的電源開啟。,
refrigerator,冰箱,living_room,no,內有廁所鑰匙,把冰箱打開，裡面只有看起來放好幾年的調味料，一點食材都沒有。翻找了一陣子，在冷凍庫深處找到廁所鑰匙。誰會把廁所鑰匙放在這種地方？,把冰箱打開，裡面只有看起來放好幾年的調味料，一點食材都沒有。翻找了一陣子，沒有找到其他東西了。,
couch,沙發,living_room,no,拼圖碎片*1,這是一個可以容納三個人的沙發，但椅墊上卻有一個人橫躺的形狀。你從沙發縫隙中撈出了一片拼圖。,這是一個可以容納三個人的沙發，但椅墊上卻有一個人橫躺的形狀。你檢查沙發縫隙，只有一堆灰塵。,
tub,浴缸,bathroom,no,將塞子放入注水後，可透過倒影看見密碼5,原本應該保持亮白的浴缸已經泛黃掉漆。排水孔的塞子也不知道跑去哪了。,原本應該保持亮白的浴缸已經泛黃掉漆。你把塞子放進了排水孔。,
toilet,馬桶,bathroom,no,水箱內有小房間鑰匙,馬桶是廁所內唯一保持整潔的設備。水箱內放著孩子房的鑰匙，你把它拿走了。,馬桶是廁所內唯一保持整潔的設備。你打開水箱，但一無所獲。,
faucet,水龍頭,bathroom,no,打開後可注水,水龍頭上全都是水垢。轉開水龍頭後水全部都流光了。,水龍頭上全是水垢，轉開後浴缸內填滿了水。你看向浴缸，填滿的水反射了廁所的天花板，一個5被寫在天花板上。,
plug,塞子,basement,yes,用來放進浴缸中,在地下室的角落放在一個塞子，不知道可以用在哪裡？但你決定帶在身上。,,
bed_kidroom,床,kidroom,no,枕頭下有地下室鑰匙,一張給小孩子睡的床，你躺上去的話腳會伸出一截。床單的圖案是皮卡丘，枕頭套也是皮卡丘的圖案。枕頭下放著地下室的鑰匙，你把它拿走了。,一張給小孩子睡的床，你躺上去的話腳會伸出一截。床單的圖案是皮卡丘，枕頭套也是皮卡丘的圖案。枕頭下沒有任何東西。,
puzzle,拼圖,kidroom,no,找到四個拼圖碎片放上後，可獲得密碼2,地板上放著拼圖，上頭還缺了四片拼圖才能組裝完成，現在還看不出圖案是什麼。,把四片拼圖放進未完成的拼圖，上頭寫著數字2。,
tin_box,鐵盒,kidroom,no,拼圖碎片*1,在床的角落放著一個鐵盒，不知怎麼地你感到非常懷念。鐵盒裡面放著很多玻璃彈珠和遊戲卡牌。最底下擺著一個拼圖碎片，你把它帶走了。,在床的角落放著一個鐵盒，不知怎麼地你感到非常懷念。鐵盒裡面放著很多玻璃彈珠和遊戲卡牌。,
carton,紙箱,basement,no,拼圖碎片*1,一個足夠讓小孩子躲在裡面的紙箱，外面用馬克筆寫著秘密基地。箱子的內側貼了很多張照片，全部都是一個女人抱著臥室相框中那男孩。一個拼圖碎片掉在箱子的角落，你把它帶走了。,一個足夠讓小孩子躲在裡面的紙箱，外面用馬克筆寫著秘密基地。箱子的內側貼了很多張照片，全部都是一個女人抱著臥室相框中那男孩。,
switchboard,配電盤,basement,no,開啟後可使用紅白機,上面寫著「高壓電，非專業誤開」。你把電筏打開了。,上面寫著「高壓電，非專業誤開」。,
